Disease,Symptoms,Remedy,Usage
Asthma,"Bloating, gas, stomach ache, acidity","Ajwain, Ginger, Lemon","Neem paste on affected area, turmeric in warm milk"
Skin Allergy,"Anxiety, restlessness","Bael Fruit, Pomegranate, Ginger",Juice with honey twice daily
Headache,"High blood pressure, headache","Ajwain, Ginger, Lemon","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Diarrhea,"High temperature, body pain, weakness","Jamun Seeds, Methi Seeds, Neem Leaves","Amla juice daily, bhringraj oil scalp massage"
Indigestion,"Irregular periods, cramps","Ashoka, Lodhra, Aloe Vera",Juice with honey twice daily
Indigestion,"Breathlessness, chest tightness","Bael Fruit, Pomegranate, Ginger",Powder with warm water daily
Acidity,"Bloating, gas, stomach ache, acidity","Triphala, Isabgol, Warm Water",Giloy juice with water daily
Arthritis,Dry or wet cough,"Brahmi, Ashwagandha, Shankhpushpi",Triphala powder at night with warm water
Asthma,"Joint pain, swelling","Jamun Seeds, Methi Seeds, Neem Leaves","Ajwain with warm water after meals, ginger tea"
Fever,"Overweight, fatigue","Amla, Bhringraj, Coconut Oil",Juice with honey twice daily
Indigestion,"Itching, redness, inflammation","Neem, Turmeric, Aloe Vera","Neem paste on affected area, turmeric in warm milk"
Skin Allergy,"Blurred vision, eye strain","Giloy, Tulsi, Ginger",Herbal capsule or tea twice daily
Indigestion,"Blurred vision, eye strain","Ajwain, Ginger, Lemon",Juice with honey twice daily
Eye Problems,"Bloating, gas, stomach ache, acidity","Neem, Turmeric, Aloe Vera",Triphala powder at night with warm water
Obesity,"Loose motion, dehydration","Ajwain, Ginger, Lemon","Jamun seed powder with water, methi overnight water"
Eye Problems,"High blood sugar, frequent urination","Guggul, Triphala, Honey","Fennel tea after meals, amla juice"
Acidity,"Anxiety, restlessness","Tulsi, Ginger, Honey, Black Pepper","Jamun seed powder with water, methi overnight water"
Cough,"High temperature, body pain, weakness","Ashoka, Lodhra, Aloe Vera",Juice or tea after meals
Menstrual Problems,"Hard stool, bloating","Tulsi, Ginger, Honey, Black Pepper","Fennel tea after meals, amla juice"
Migraine,"Stress, sinus, tension","Neem, Turmeric, Aloe Vera","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Menstrual Problems,"High blood sugar, frequent urination","Guggul, Triphala, Honey","Jamun seed powder with water, methi overnight water"
Diarrhea,"Burning sensation, chest pain, bloating","Neem, Turmeric, Aloe Vera",Triphala powder at night with warm water
Stress,"Hard stool, bloating","Ajwain, Ginger, Lemon",Herbal tea twice daily
Menstrual Problems,"Severe headache, nausea","Guggul, Triphala, Honey",Tulsi tea with ginger & honey twice daily
Headache,"Irregular periods, cramps","Mulethi (Licorice), Honey, Ginger","Jamun seed powder with water, methi overnight water"
Hypertension,"Loose motion, dehydration","Giloy, Tulsi, Ginger",Decoction twice daily
Back Pain,"High blood pressure, headache","Triphala, Amla, Honey",Juice with honey twice daily
Hypertension,"Irregular periods, cramps","Amla, Bhringraj, Coconut Oil","Jamun seed powder with water, methi overnight water"
Skin Allergy,"Bloating, gas, stomach ache, acidity","Guggul, Triphala, Honey","Ajwain with warm water after meals, ginger tea"
Diarrhea,"Lower back pain, stiffness","Mulethi (Licorice), Honey, Ginger",Herbal capsule or tea twice daily
Eye Problems,"Lower back pain, stiffness","Ajwain, Ginger, Lemon",Powder with warm water daily
Cough,"Bloating, gas, stomach ache, acidity","Peppermint, Ginger, Coriander","Ajwain with warm water after meals, ginger tea"
Stress,"Blurred vision, eye strain","Vasaka, Tulsi, Ginger",Powder with warm water daily
Headache,"Hard stool, bloating","Tulsi, Ginger, Honey, Black Pepper",Triphala powder at night with warm water
Asthma,"Burning sensation, chest pain, bloating","Amla, Bhringraj, Coconut Oil",Mulethi powder with honey twice daily
Eye Problems,Dry or wet cough,"Garlic, Arjuna, Amla","Fennel tea after meals, amla juice"
Indigestion,"Severe headache, nausea","Ashoka, Lodhra, Aloe Vera",Decoction twice daily
Headache,"Burning sensation, chest pain, bloating","Mulethi (Licorice), Honey, Ginger","Fennel tea after meals, amla juice"
Asthma,"Blurred vision, eye strain","Bael Fruit, Pomegranate, Ginger",Juice with honey twice daily
Menstrual Problems,"Irregular periods, cramps","Mulethi (Licorice), Honey, Ginger",Herbal capsule or tea twice daily
Stress,"Loose motion, dehydration","Amla, Bhringraj, Coconut Oil",Oil massage and warm compress
Arthritis,"Burning sensation, chest pain, bloating","Giloy, Tulsi, Ginger",Giloy juice with water daily
Hypertension,"Irregular periods, cramps","Peppermint, Ginger, Coriander","Amla juice daily, bhringraj oil scalp massage"
Skin Allergy,"Itching, redness, inflammation","Bael Fruit, Pomegranate, Ginger",Juice with honey twice daily
Arthritis,"Overweight, fatigue","Ashwagandha, Turmeric, Ginger",Paste application and inhalation
Common Cold,"Weak roots, dandruff, dryness","Triphala, Isabgol, Warm Water","Neem paste on affected area, turmeric in warm milk"
Eye Problems,"Burning sensation, chest pain, bloating","Triphala, Amla, Honey",Juice or decoction once daily
Cough,"Anxiety, restlessness","Triphala, Isabgol, Warm Water",Herbal capsule or tea twice daily
Diabetes,"Overweight, fatigue","Amla, Bhringraj, Coconut Oil","Ajwain with warm water after meals, ginger tea"
Back Pain,"Hard stool, bloating","Mulethi (Licorice), Honey, Ginger",Giloy juice with water daily
Arthritis,"Loose motion, dehydration","Peppermint, Ginger, Coriander",Powder with warm water daily
Common Cold,Dry or wet cough,"Bael Fruit, Pomegranate, Ginger","Neem paste on affected area, turmeric in warm milk"
Migraine,"Overweight, fatigue","Brahmi, Ashwagandha, Shankhpushpi",Paste application and inhalation
Back Pain,"Weak roots, dandruff, dryness","Triphala, Amla, Honey","Neem paste on affected area, turmeric in warm milk"
Hairfall,"Weak roots, dandruff, dryness","Ajwain, Ginger, Lemon",Giloy juice with water daily
Arthritis,"Burning sensation, chest pain, bloating","Bael Fruit, Pomegranate, Ginger","Fennel tea after meals, amla juice"
Common Cold,Dry or wet cough,"Mulethi (Licorice), Honey, Ginger",Oil massage and warm compress
Diabetes,"Weak roots, dandruff, dryness","Brahmi, Ashwagandha, Shankhpushpi",Decoction twice daily
Skin Allergy,"Breathlessness, chest tightness","Peppermint, Ginger, Coriander",Juice or tea after meals
Hairfall,"Severe headache, nausea","Giloy, Tulsi, Ginger",Mulethi powder with honey twice daily
Asthma,"Irregular periods, cramps","Brahmi, Peppermint, Eucalyptus Oil",Mulethi powder with honey twice daily
Arthritis,"Lower back pain, stiffness","Jamun Seeds, Methi Seeds, Neem Leaves",Herbal capsule or tea twice daily
Fever,"Irregular periods, cramps","Garlic, Arjuna, Amla","Neem paste on affected area, turmeric in warm milk"
Constipation,"Anxiety, restlessness","Triphala, Isabgol, Warm Water",Mulethi powder with honey twice daily
Eye Problems,"High blood sugar, frequent urination","Tulsi, Ginger, Honey, Black Pepper",Decoction twice daily
Eye Problems,"Stress, sinus, tension","Brahmi, Peppermint, Eucalyptus Oil",Herbal capsule or tea twice daily
Migraine,"Itching, redness, inflammation","Vasaka, Tulsi, Ginger","Ajwain with warm water after meals, ginger tea"
Skin Allergy,"Joint pain, swelling","Ajwain, Ginger, Lemon",Giloy juice with water daily
Migraine,"Severe headache, nausea","Vasaka, Tulsi, Ginger","Amla juice daily, bhringraj oil scalp massage"
Cough,"Overweight, fatigue","Bael Fruit, Pomegranate, Ginger",Giloy juice with water daily
Skin Allergy,"Blurred vision, eye strain","Ajwain, Ginger, Lemon","Neem paste on affected area, turmeric in warm milk"
Fever,Dry or wet cough,"Brahmi, Ashwagandha, Shankhpushpi",Paste application and inhalation
Indigestion,"Irregular periods, cramps","Vasaka, Tulsi, Ginger",Herbal capsule or tea twice daily
Skin Allergy,Dry or wet cough,"Ginger Oil, Turmeric, Eucalyptus Oil",Juice or tea after meals
Acidity,"Anxiety, restlessness","Brahmi, Peppermint, Eucalyptus Oil","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Hairfall,"Anxiety, restlessness","Tulsi, Ginger, Honey, Black Pepper",Juice or tea after meals
Stress,"Irregular periods, cramps","Brahmi, Peppermint, Eucalyptus Oil",Decoction twice daily
Stress,"Itching, redness, inflammation","Jamun Seeds, Methi Seeds, Neem Leaves",Mulethi powder with honey twice daily
Obesity,"Hard stool, bloating","Ginger Oil, Turmeric, Eucalyptus Oil",Herbal tea twice daily
Skin Allergy,"Irregular periods, cramps","Ashoka, Lodhra, Aloe Vera",Triphala powder at night with warm water
Skin Allergy,"Stress, sinus, tension","Ashwagandha, Turmeric, Ginger",Giloy juice with water daily
Fever,"Severe headache, nausea","Neem, Turmeric, Aloe Vera",Juice or tea after meals
Arthritis,"Itching, redness, inflammation","Ginger Oil, Turmeric, Eucalyptus Oil","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Back Pain,"High blood pressure, headache","Brahmi, Ashwagandha, Shankhpushpi",Juice with honey twice daily
Asthma,"High temperature, body pain, weakness","Brahmi, Peppermint, Eucalyptus Oil",Tulsi tea with ginger & honey twice daily
Diarrhea,"Stress, sinus, tension","Fennel Seeds, Amla, Mint","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Acidity,"Loose motion, dehydration","Ashwagandha, Turmeric, Ginger","Neem paste on affected area, turmeric in warm milk"
Common Cold,"Breathlessness, chest tightness","Mulethi (Licorice), Honey, Ginger",Juice or tea after meals
Skin Allergy,"Hard stool, bloating","Bael Fruit, Pomegranate, Ginger",Decoction twice daily
Headache,"Severe headache, nausea","Neem, Turmeric, Aloe Vera",Giloy juice with water daily
Headache,"High blood pressure, headache","Ashwagandha, Turmeric, Ginger",Paste application and inhalation
Headache,"High blood sugar, frequent urination","Triphala, Isabgol, Warm Water",Triphala powder at night with warm water
Headache,"Stress, sinus, tension","Peppermint, Ginger, Coriander",Oil massage and warm compress
Diarrhea,"Runny nose, sore throat, sneezing, cough","Jamun Seeds, Methi Seeds, Neem Leaves",Mulethi powder with honey twice daily
Back Pain,"Bloating, gas, stomach ache, acidity","Fennel Seeds, Amla, Mint","Fennel tea after meals, amla juice"
Cough,"High temperature, body pain, weakness","Bael Fruit, Pomegranate, Ginger",Juice or powder in warm water
Skin Allergy,"Stress, sinus, tension","Fennel Seeds, Amla, Mint",Herbal capsule or tea twice daily
Constipation,"Itching, redness, inflammation","Neem, Turmeric, Aloe Vera",Juice or decoction once daily
Obesity,"High temperature, body pain, weakness","Tulsi, Ginger, Honey, Black Pepper",Paste application and inhalation
Hairfall,"Irregular periods, cramps","Tulsi, Ginger, Honey, Black Pepper",Paste application and inhalation
Common Cold,"Itching, redness, inflammation","Neem, Turmeric, Aloe Vera",Juice or decoction once daily
Stress,"High blood sugar, frequent urination","Brahmi, Ashwagandha, Shankhpushpi","Jamun seed powder with water, methi overnight water"
Fever,"Weak roots, dandruff, dryness","Ajwain, Ginger, Lemon",Juice or powder in warm water
Menstrual Problems,"Severe headache, nausea","Guggul, Triphala, Honey",Oil massage and warm compress
Arthritis,"Hard stool, bloating","Guggul, Triphala, Honey",Decoction twice daily
Back Pain,"Stress, sinus, tension","Brahmi, Ashwagandha, Shankhpushpi",Paste application and inhalation
Hairfall,"Burning sensation, chest pain, bloating","Amla, Bhringraj, Coconut Oil",Mulethi powder with honey twice daily
Fever,"High temperature, body pain, weakness","Giloy, Tulsi, Ginger",Oil massage and warm compress
Back Pain,"High blood pressure, headache","Vasaka, Tulsi, Ginger",Giloy juice with water daily
Fever,"Stress, sinus, tension","Neem, Turmeric, Aloe Vera",Mulethi powder with honey twice daily
Skin Allergy,"Burning sensation, chest pain, bloating","Guggul, Triphala, Honey","Amla juice daily, bhringraj oil scalp massage"
Constipation,"Overweight, fatigue","Brahmi, Peppermint, Eucalyptus Oil",Juice or tea after meals
Obesity,Dry or wet cough,"Brahmi, Peppermint, Eucalyptus Oil",Herbal tea twice daily
Constipation,"Stress, sinus, tension","Triphala, Amla, Honey",Giloy juice with water daily
Hairfall,"Bloating, gas, stomach ache, acidity","Garlic, Arjuna, Amla",Giloy juice with water daily
Fever,"Burning sensation, chest pain, bloating","Garlic, Arjuna, Amla","Fennel tea after meals, amla juice"
Hairfall,"High blood pressure, headache","Vasaka, Tulsi, Ginger",Juice with honey twice daily
Stress,"High blood sugar, frequent urination","Triphala, Isabgol, Warm Water",Tulsi tea with ginger & honey twice daily
Cough,"Hard stool, bloating","Triphala, Amla, Honey",Juice with honey twice daily
Back Pain,"Hard stool, bloating","Neem, Turmeric, Aloe Vera",Giloy juice with water daily
Asthma,"Breathlessness, chest tightness","Vasaka, Tulsi, Ginger",Juice or decoction once daily
Acidity,"Weak roots, dandruff, dryness","Amla, Bhringraj, Coconut Oil","Jamun seed powder with water, methi overnight water"
Stress,"Blurred vision, eye strain","Bael Fruit, Pomegranate, Ginger",Paste application and inhalation
Common Cold,"Itching, redness, inflammation","Ashoka, Lodhra, Aloe Vera",Juice or powder in warm water
Acidity,"High blood pressure, headache","Garlic, Arjuna, Amla","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Constipation,"Severe headache, nausea","Giloy, Tulsi, Ginger","Neem paste on affected area, turmeric in warm milk"
Diarrhea,"Severe headache, nausea","Vasaka, Tulsi, Ginger","Neem paste on affected area, turmeric in warm milk"
Indigestion,"Joint pain, swelling","Ginger Oil, Turmeric, Eucalyptus Oil",Mulethi powder with honey twice daily
Acidity,"Itching, redness, inflammation","Giloy, Tulsi, Ginger",Juice or powder in warm water
Arthritis,"Overweight, fatigue","Brahmi, Ashwagandha, Shankhpushpi",Decoction twice daily
Menstrual Problems,"Stress, sinus, tension","Jamun Seeds, Methi Seeds, Neem Leaves","Fennel tea after meals, amla juice"
Migraine,"Itching, redness, inflammation","Triphala, Amla, Honey",Herbal capsule or tea twice daily
Common Cold,"Runny nose, sore throat, sneezing, cough","Bael Fruit, Pomegranate, Ginger",Juice or decoction once daily
Arthritis,"Loose motion, dehydration","Ajwain, Ginger, Lemon",Powder with warm water daily
Hairfall,"High blood sugar, frequent urination","Fennel Seeds, Amla, Mint",Juice or tea after meals
Obesity,"Bloating, gas, stomach ache, acidity","Giloy, Tulsi, Ginger",Herbal capsule or tea twice daily
Hypertension,"Hard stool, bloating","Amla, Bhringraj, Coconut Oil",Powder with warm water daily
Eye Problems,"Bloating, gas, stomach ache, acidity","Garlic, Arjuna, Amla",Juice or powder in warm water
Hypertension,"High temperature, body pain, weakness","Neem, Turmeric, Aloe Vera","Neem paste on affected area, turmeric in warm milk"
Skin Allergy,"Hard stool, bloating","Giloy, Tulsi, Ginger",Oil massage and warm compress
Constipation,"Loose motion, dehydration","Triphala, Isabgol, Warm Water",Juice or powder in warm water
Cough,"High temperature, body pain, weakness","Triphala, Isabgol, Warm Water",Herbal capsule or tea twice daily
Back Pain,"Runny nose, sore throat, sneezing, cough","Fennel Seeds, Amla, Mint","Fennel tea after meals, amla juice"
Common Cold,"Lower back pain, stiffness","Ashwagandha, Turmeric, Ginger","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Back Pain,"Lower back pain, stiffness","Ajwain, Ginger, Lemon",Oil massage and warm compress
Acidity,"Lower back pain, stiffness","Garlic, Arjuna, Amla",Herbal capsule or tea twice daily
Obesity,"Weak roots, dandruff, dryness","Triphala, Isabgol, Warm Water",Herbal capsule or tea twice daily
Indigestion,"High blood pressure, headache","Brahmi, Peppermint, Eucalyptus Oil",Juice or decoction once daily
Common Cold,"Hard stool, bloating","Brahmi, Ashwagandha, Shankhpushpi",Giloy juice with water daily
Asthma,"Itching, redness, inflammation","Jamun Seeds, Methi Seeds, Neem Leaves",Powder with warm water daily
Headache,"Severe headache, nausea","Tulsi, Ginger, Honey, Black Pepper","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Fever,"Burning sensation, chest pain, bloating","Bael Fruit, Pomegranate, Ginger","Jamun seed powder with water, methi overnight water"
Hairfall,"Lower back pain, stiffness","Giloy, Tulsi, Ginger",Paste application and inhalation
Diarrhea,"Severe headache, nausea","Garlic, Arjuna, Amla",Powder with warm water daily
Migraine,"High blood pressure, headache","Triphala, Isabgol, Warm Water",Juice or tea after meals
Stress,Dry or wet cough,"Bael Fruit, Pomegranate, Ginger","Jamun seed powder with water, methi overnight water"
Menstrual Problems,"High temperature, body pain, weakness","Fennel Seeds, Amla, Mint","Neem paste on affected area, turmeric in warm milk"
Indigestion,"Itching, redness, inflammation","Garlic, Arjuna, Amla","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Constipation,"Breathlessness, chest tightness","Peppermint, Ginger, Coriander","Amla juice daily, bhringraj oil scalp massage"
Diarrhea,"Loose motion, dehydration","Ashoka, Lodhra, Aloe Vera","Neem paste on affected area, turmeric in warm milk"
Arthritis,"Bloating, gas, stomach ache, acidity","Vasaka, Tulsi, Ginger",Triphala powder at night with warm water
Back Pain,"Anxiety, restlessness","Neem, Turmeric, Aloe Vera",Juice or decoction once daily
Constipation,"Stress, sinus, tension","Brahmi, Peppermint, Eucalyptus Oil",Juice with honey twice daily
Diarrhea,"Lower back pain, stiffness","Triphala, Isabgol, Warm Water","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Eye Problems,"Overweight, fatigue","Triphala, Amla, Honey",Mulethi powder with honey twice daily
Cough,"Joint pain, swelling","Neem, Turmeric, Aloe Vera","Amla juice daily, bhringraj oil scalp massage"
Migraine,"Irregular periods, cramps","Vasaka, Tulsi, Ginger",Paste application and inhalation
Acidity,"Burning sensation, chest pain, bloating","Ajwain, Ginger, Lemon","Jamun seed powder with water, methi overnight water"
Diabetes,"Loose motion, dehydration","Bael Fruit, Pomegranate, Ginger",Herbal tea twice daily
Back Pain,"Runny nose, sore throat, sneezing, cough","Ginger Oil, Turmeric, Eucalyptus Oil","Fennel tea after meals, amla juice"
Obesity,"Irregular periods, cramps","Mulethi (Licorice), Honey, Ginger","Amla juice daily, bhringraj oil scalp massage"
Eye Problems,"Breathlessness, chest tightness","Triphala, Isabgol, Warm Water","Jamun seed powder with water, methi overnight water"
Arthritis,"High blood pressure, headache","Garlic, Arjuna, Amla","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Indigestion,"Overweight, fatigue","Fennel Seeds, Amla, Mint",Herbal capsule or tea twice daily
Constipation,"Breathlessness, chest tightness","Vasaka, Tulsi, Ginger",Mulethi powder with honey twice daily
Menstrual Problems,"Overweight, fatigue","Ashwagandha, Turmeric, Ginger",Juice with honey twice daily
Cough,"Weak roots, dandruff, dryness","Triphala, Amla, Honey",Herbal tea twice daily
Stress,"Loose motion, dehydration","Ashwagandha, Turmeric, Ginger",Decoction twice daily
Fever,"Breathlessness, chest tightness","Bael Fruit, Pomegranate, Ginger",Juice or decoction once daily
Indigestion,"Loose motion, dehydration","Ginger Oil, Turmeric, Eucalyptus Oil","Jamun seed powder with water, methi overnight water"
Skin Allergy,"High blood sugar, frequent urination","Brahmi, Peppermint, Eucalyptus Oil",Juice or powder in warm water
Headache,"Blurred vision, eye strain","Neem, Turmeric, Aloe Vera",Juice or tea after meals
Constipation,"Runny nose, sore throat, sneezing, cough","Jamun Seeds, Methi Seeds, Neem Leaves","Neem paste on affected area, turmeric in warm milk"
Arthritis,"Burning sensation, chest pain, bloating","Triphala, Isabgol, Warm Water",Decoction twice daily
Hairfall,"Lower back pain, stiffness","Bael Fruit, Pomegranate, Ginger","Ajwain with warm water after meals, ginger tea"
Acidity,"Severe headache, nausea","Mulethi (Licorice), Honey, Ginger",Juice or tea after meals
Eye Problems,"Runny nose, sore throat, sneezing, cough","Guggul, Triphala, Honey",Juice or powder in warm water
Eye Problems,"Weak roots, dandruff, dryness","Bael Fruit, Pomegranate, Ginger","Jamun seed powder with water, methi overnight water"
Diabetes,"High blood sugar, frequent urination","Ginger Oil, Turmeric, Eucalyptus Oil",Paste application and inhalation
Cough,"Anxiety, restlessness","Ajwain, Ginger, Lemon",Powder with warm water daily
Back Pain,"Burning sensation, chest pain, bloating","Ginger Oil, Turmeric, Eucalyptus Oil",Powder with warm water daily
Hairfall,Dry or wet cough,"Brahmi, Ashwagandha, Shankhpushpi",Mulethi powder with honey twice daily
Stress,"High blood pressure, headache","Bael Fruit, Pomegranate, Ginger",Juice or decoction once daily
Hairfall,"Blurred vision, eye strain","Triphala, Amla, Honey","Neem paste on affected area, turmeric in warm milk"
Hairfall,"Anxiety, restlessness","Mulethi (Licorice), Honey, Ginger",Juice or decoction once daily
Cough,"High temperature, body pain, weakness","Vasaka, Tulsi, Ginger","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Stress,"Anxiety, restlessness","Ashoka, Lodhra, Aloe Vera",Oil massage and warm compress
Acidity,"Overweight, fatigue","Mulethi (Licorice), Honey, Ginger","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Arthritis,"Burning sensation, chest pain, bloating","Vasaka, Tulsi, Ginger",Herbal tea twice daily
Acidity,"High temperature, body pain, weakness","Triphala, Isabgol, Warm Water",Triphala powder at night with warm water
Common Cold,"Breathlessness, chest tightness","Garlic, Arjuna, Amla","Ajwain with warm water after meals, ginger tea"
Fever,"Burning sensation, chest pain, bloating","Jamun Seeds, Methi Seeds, Neem Leaves",Powder with warm water daily
Obesity,"Hard stool, bloating","Amla, Bhringraj, Coconut Oil",Paste application and inhalation
Migraine,"Blurred vision, eye strain","Neem, Turmeric, Aloe Vera",Mulethi powder with honey twice daily
Migraine,"Anxiety, restlessness","Fennel Seeds, Amla, Mint","Fennel tea after meals, amla juice"
Acidity,"Runny nose, sore throat, sneezing, cough","Garlic, Arjuna, Amla",Juice or decoction once daily
Acidity,Dry or wet cough,"Ginger Oil, Turmeric, Eucalyptus Oil","Fennel tea after meals, amla juice"
Eye Problems,"Loose motion, dehydration","Mulethi (Licorice), Honey, Ginger",Decoction twice daily
Menstrual Problems,"Weak roots, dandruff, dryness","Ginger Oil, Turmeric, Eucalyptus Oil",Paste application and inhalation
Diabetes,"Blurred vision, eye strain","Amla, Bhringraj, Coconut Oil","Fennel tea after meals, amla juice"
Hypertension,"High temperature, body pain, weakness","Bael Fruit, Pomegranate, Ginger",Powder with warm water daily
Hypertension,"Blurred vision, eye strain","Peppermint, Ginger, Coriander","Ajwain with warm water after meals, ginger tea"
Indigestion,"Breathlessness, chest tightness","Ginger Oil, Turmeric, Eucalyptus Oil",Paste application and inhalation
Back Pain,"Blurred vision, eye strain","Giloy, Tulsi, Ginger",Oil massage and warm compress
Common Cold,"Hard stool, bloating","Guggul, Triphala, Honey",Oil massage and warm compress
Cough,"Irregular periods, cramps","Giloy, Tulsi, Ginger","Fennel tea after meals, amla juice"
Hairfall,"Stress, sinus, tension","Triphala, Isabgol, Warm Water",Tulsi tea with ginger & honey twice daily
Stress,"Loose motion, dehydration","Guggul, Triphala, Honey",Mulethi powder with honey twice daily
Diarrhea,Dry or wet cough,"Brahmi, Ashwagandha, Shankhpushpi",Herbal tea twice daily
Fever,"Overweight, fatigue","Garlic, Arjuna, Amla",Juice or tea after meals
Hypertension,"Overweight, fatigue","Giloy, Tulsi, Ginger","Amla juice daily, bhringraj oil scalp massage"
Back Pain,"Lower back pain, stiffness","Mulethi (Licorice), Honey, Ginger",Tulsi tea with ginger & honey twice daily
Migraine,"Joint pain, swelling","Brahmi, Peppermint, Eucalyptus Oil","Amla juice daily, bhringraj oil scalp massage"
Headache,"Itching, redness, inflammation","Triphala, Isabgol, Warm Water","Ajwain with warm water after meals, ginger tea"
Obesity,"Weak roots, dandruff, dryness","Giloy, Tulsi, Ginger",Juice or decoction once daily
Obesity,"Severe headache, nausea","Guggul, Triphala, Honey","Ajwain with warm water after meals, ginger tea"
Headache,Dry or wet cough,"Fennel Seeds, Amla, Mint",Mulethi powder with honey twice daily
Skin Allergy,"Bloating, gas, stomach ache, acidity","Amla, Bhringraj, Coconut Oil","Amla juice daily, bhringraj oil scalp massage"
Arthritis,"Stress, sinus, tension","Vasaka, Tulsi, Ginger",Herbal capsule or tea twice daily
Fever,"Loose motion, dehydration","Giloy, Tulsi, Ginger",Juice or tea after meals
Menstrual Problems,"Lower back pain, stiffness","Peppermint, Ginger, Coriander",Triphala powder at night with warm water
Eye Problems,"Joint pain, swelling","Peppermint, Ginger, Coriander",Triphala powder at night with warm water
Constipation,"Lower back pain, stiffness","Giloy, Tulsi, Ginger",Herbal tea twice daily
Common Cold,"Hard stool, bloating","Ashwagandha, Turmeric, Ginger",Tulsi tea with ginger & honey twice daily
Headache,"Hard stool, bloating","Triphala, Amla, Honey",Herbal capsule or tea twice daily
Constipation,"Bloating, gas, stomach ache, acidity","Peppermint, Ginger, Coriander","Ajwain with warm water after meals, ginger tea"
Eye Problems,"Joint pain, swelling","Peppermint, Ginger, Coriander","Ajwain with warm water after meals, ginger tea"
Headache,"Burning sensation, chest pain, bloating","Peppermint, Ginger, Coriander",Oil massage and warm compress
Fever,"Blurred vision, eye strain","Bael Fruit, Pomegranate, Ginger",Triphala powder at night with warm water
Indigestion,"Lower back pain, stiffness","Neem, Turmeric, Aloe Vera",Oil massage and warm compress
Cough,"Itching, redness, inflammation","Ashwagandha, Turmeric, Ginger","Amla juice daily, bhringraj oil scalp massage"
Indigestion,"Runny nose, sore throat, sneezing, cough","Vasaka, Tulsi, Ginger",Mulethi powder with honey twice daily
Acidity,"Itching, redness, inflammation","Brahmi, Ashwagandha, Shankhpushpi",Decoction twice daily
Constipation,"Burning sensation, chest pain, bloating","Ajwain, Ginger, Lemon",Mulethi powder with honey twice daily
Migraine,"Bloating, gas, stomach ache, acidity","Garlic, Arjuna, Amla",Tulsi tea with ginger & honey twice daily
Migraine,"Loose motion, dehydration","Ashoka, Lodhra, Aloe Vera","Neem paste on affected area, turmeric in warm milk"
Asthma,"Bloating, gas, stomach ache, acidity","Tulsi, Ginger, Honey, Black Pepper","Amla juice daily, bhringraj oil scalp massage"
Obesity,"Anxiety, restlessness","Mulethi (Licorice), Honey, Ginger",Powder with warm water daily
Back Pain,"High blood pressure, headache","Guggul, Triphala, Honey",Juice or decoction once daily
Migraine,"Loose motion, dehydration","Neem, Turmeric, Aloe Vera","Amla juice daily, bhringraj oil scalp massage"
Menstrual Problems,"Loose motion, dehydration","Ashoka, Lodhra, Aloe Vera",Tulsi tea with ginger & honey twice daily
Hypertension,"Runny nose, sore throat, sneezing, cough","Brahmi, Peppermint, Eucalyptus Oil","Fennel tea after meals, amla juice"
Fever,"High blood sugar, frequent urination","Brahmi, Peppermint, Eucalyptus Oil",Juice with honey twice daily
Fever,Dry or wet cough,"Jamun Seeds, Methi Seeds, Neem Leaves",Juice or tea after meals
Diarrhea,"Hard stool, bloating","Peppermint, Ginger, Coriander",Powder with warm water daily
Migraine,"Stress, sinus, tension","Vasaka, Tulsi, Ginger","Jamun seed powder with water, methi overnight water"
Arthritis,"Joint pain, swelling","Garlic, Arjuna, Amla",Juice or powder in warm water
Skin Allergy,"Weak roots, dandruff, dryness","Ajwain, Ginger, Lemon",Decoction twice daily
Fever,"Loose motion, dehydration","Mulethi (Licorice), Honey, Ginger","Fennel tea after meals, amla juice"
Diarrhea,"Severe headache, nausea","Ajwain, Ginger, Lemon",Tulsi tea with ginger & honey twice daily
Hypertension,"Stress, sinus, tension","Bael Fruit, Pomegranate, Ginger","Brahmi tea, peppermint inhalation, eucalyptus oil massage"
Back Pain,"Lower back pain, stiffness","Giloy, Tulsi, Ginger",Juice with honey twice daily
Hypertension,"High blood sugar, frequent urination","Mulethi (Licorice), Honey, Ginger",Triphala powder at night with warm water
Headache,"Hard stool, bloating","Tulsi, Ginger, Honey, Black Pepper","Neem paste on affected area, turmeric in warm milk"
Common Cold,"Overweight, fatigue","Jamun Seeds, Methi Seeds, Neem Leaves",Herbal tea twice daily
Arthritis,"Overweight, fatigue","Peppermint, Ginger, Coriander",Triphala powder at night with warm water
Indigestion,Dry or wet cough,"Triphala, Amla, Honey",Powder with warm water daily
